Date,Hour,X Position,Y Position
08/02/18,17:41:07,215.2,38.3,
08/02/18,17:41:07,203.1,45.8,
08/02/18,17:41:07,209.5,30.0,
08/02/18,17:41:07,218.2,38.8,
08/02/18,17:41:07,214.4,37.7,
08/02/18,17:41:07,217.2,36.0,
08/02/18,17:41:07,221.6,41.7,
08/02/18,17:41:07,224.6,22.9,
08/02/18,17:41:07,219.9,36.9,
08/02/18,17:41:07,223.6,32.2,
08/02/18,17:41:08,224.3,32.8,
08/02/18,17:41:08,223.6,38.3,
08/02/18,17:41:08,223.7,34.1,
08/02/18,17:41:08,224.2,34.0,
08/02/18,17:41:08,225.6,31.0,
08/02/18,17:41:08,224.3,31.2,
08/02/18,17:41:08,224.8,31.4,
08/02/18,17:41:08,225.1,33.4,
08/02/18,17:41:08,216.2,38.7,
08/02/18,17:41:08,226.2,30.3,
08/02/18,17:41:08,228.0,34.9,
08/02/18,17:41:09,227.2,33.7,
08/02/18,17:41:09,231.2,34.9,
08/02/18,17:41:09,228.5,34.5,
08/02/18,17:41:09,230.5,31.2,
08/02/18,17:41:09,228.1,31.1,
08/02/18,17:41:09,229.6,31.5,
08/02/18,17:41:09,231.1,31.9,
08/02/18,17:41:09,228.5,30.6,
08/02/18,17:41:09,229.4,33.9,
08/02/18,17:41:09,234.1,38.3,
08/02/18,17:41:09,232.7,29.5,
08/02/18,17:41:10,231.6,28.3,
08/02/18,17:41:10,218.4,44.8,
08/02/18,17:41:10,215.3,46.0,
08/02/18,17:41:10,215.1,43.1,
08/02/18,17:41:10,236.2,32.4,
08/02/18,17:41:10,237.5,36.6,
08/02/18,17:41:10,244.0,17.4,
08/02/18,17:41:10,239.1,29.6,
08/02/18,17:41:10,237.3,27.4,
08/02/18,17:41:10,222.3,41.2,
08/02/18,17:41:10,239.5,27.6,
08/02/18,17:41:11,245.5,42.8,
08/02/18,17:41:11,224.9,41.0,
08/02/18,17:41:11,241.4,30.7,
08/02/18,17:41:11,247.0,37.4,
08/02/18,17:41:11,244.9,30.6,
08/02/18,17:41:11,250.0,16.1,
08/02/18,17:41:11,249.7,31.3,
08/02/18,17:41:11,250.1,36.3,
08/02/18,17:41:11,230.1,47.3,
08/02/18,17:41:11,250.4,27.5,
08/02/18,17:41:12,249.8,26.2,
08/02/18,17:41:12,249.3,26.9,
08/02/18,17:41:12,252.1,27.3,
08/02/18,17:41:12,248.9,27.2,
08/02/18,17:41:12,249.2,27.5,
08/02/18,17:41:12,252.9,28.4,
08/02/18,17:41:12,245.7,29.6,
08/02/18,17:41:12,247.0,33.9,
08/02/18,17:41:12,262.6,31.7,
08/02/18,17:41:12,254.7,31.3,
08/02/18,17:41:12,250.9,30.3,
08/02/18,17:41:12,259.5,16.9,
08/02/18,17:41:13,260.3,48.2,
08/02/18,17:41:13,253.8,35.6,
08/02/18,17:41:13,252.9,31.6,
08/02/18,17:41:13,245.5,58.5,
08/02/18,17:41:13,259.2,31.2,
08/02/18,17:41:13,255.3,29.0,
08/02/18,17:41:13,260.2,24.9,
08/02/18,17:41:13,266.4,23.8,
08/02/18,17:41:13,260.9,33.5,
08/02/18,17:41:13,240.8,53.6,
08/02/18,17:41:13,249.7,40.0,
08/02/18,17:41:13,244.4,37.4,
08/02/18,17:41:14,247.3,46.6,
08/02/18,17:41:14,249.0,40.3,
08/02/18,17:41:14,249.0,34.9,
08/02/18,17:41:14,251.3,42.6,
08/02/18,17:41:14,250.4,42.2,
08/02/18,17:41:14,251.3,42.2,
08/02/18,17:41:14,255.5,34.6,
08/02/18,17:41:14,246.8,44.7,
08/02/18,17:41:14,243.6,38.7,
08/02/18,17:41:14,247.5,43.7,
08/02/18,17:41:14,253.5,34.6,
08/02/18,17:41:15,248.1,43.6,
08/02/18,17:41:15,249.4,43.1,
08/02/18,17:41:15,249.9,46.0,
08/02/18,17:41:15,246.9,46.2,
08/02/18,17:41:15,247.3,48.4,
08/02/18,17:41:15,234.9,58.2,
08/02/18,17:41:15,249.3,48.2,
08/02/18,17:41:15,233.8,59.0,
08/02/18,17:41:15,234.6,60.1,
08/02/18,17:41:15,238.7,60.0,
08/02/18,17:41:15,240.4,38.4,
08/02/18,17:41:15,245.2,51.6,
08/02/18,17:41:16,245.6,47.5,
08/02/18,17:41:16,243.9,41.3,
08/02/18,17:41:16,245.8,48.9,
08/02/18,17:41:16,253.7,40.9,
08/02/18,17:41:16,244.8,48.0,
08/02/18,17:41:16,246.2,48.2,
