Date,Hour,X Position,Y Position
08/09/18,09:28:22,174.5,22.7,
08/09/18,09:28:22,184.3,28.0,
08/09/18,09:28:22,177.1,24.6,
08/09/18,09:28:22,175.4,23.8,
08/09/18,09:28:22,176.2,23.9,
08/09/18,09:28:22,177.1,23.4,
08/09/18,09:28:22,177.2,21.4,
08/09/18,09:28:22,177.5,24.0,
08/09/18,09:28:22,187.9,28.6,
08/09/18,09:28:22,173.6,12.6,
08/09/18,09:28:22,177.7,25.0,
08/09/18,09:28:22,179.9,25.1,
08/09/18,09:28:22,187.7,30.1,
08/09/18,09:28:22,178.7,22.7,
08/09/18,09:28:22,178.0,25.3,
08/09/18,09:28:23,180.3,24.5,
08/09/18,09:28:23,181.3,25.6,
08/09/18,09:28:23,180.4,24.4,
08/09/18,09:28:23,182.0,22.6,
08/09/18,09:28:23,174.4,26.9,
08/09/18,09:28:23,181.8,25.8,
08/09/18,09:28:23,181.4,24.9,
08/09/18,09:28:23,181.8,24.9,
08/09/18,09:28:23,181.4,24.6,
08/09/18,09:28:23,191.1,28.3,
08/09/18,09:28:23,178.4,25.6,
08/09/18,09:28:23,182.5,24.7,
08/09/18,09:28:23,178.5,24.7,
08/09/18,09:28:23,186.1,22.2,
08/09/18,09:28:23,184.2,23.7,
08/09/18,09:28:23,184.2,25.7,
08/09/18,09:28:24,187.1,21.4,
08/09/18,09:28:24,185.8,24.3,
08/09/18,09:28:24,186.9,23.0,
08/09/18,09:28:24,186.4,24.8,
08/09/18,09:28:24,188.1,21.4,
08/09/18,09:28:24,187.2,22.9,
08/09/18,09:28:24,187.9,27.1,
08/09/18,09:28:24,187.3,23.3,
08/09/18,09:28:24,188.4,22.3,
08/09/18,09:28:24,185.1,22.6,
08/09/18,09:28:24,200.2,21.3,
08/09/18,09:28:24,199.5,25.3,
08/09/18,09:28:24,190.1,20.5,
08/09/18,09:28:24,199.4,24.5,
08/09/18,09:28:24,191.0,22.5,
08/09/18,09:28:25,190.7,24.1,
08/09/18,09:28:25,190.5,23.8,
08/09/18,09:28:25,191.1,23.8,
08/09/18,09:28:25,186.8,24.1,
08/09/18,09:28:25,191.5,21.1,
08/09/18,09:28:25,193.9,18.9,
08/09/18,09:28:25,193.2,20.9,
08/09/18,09:28:25,193.5,23.2,
08/09/18,09:28:25,194.0,23.0,
08/09/18,09:28:25,192.8,14.8,
08/09/18,09:28:25,194.9,23.2,
08/09/18,09:28:25,193.2,21.1,
08/09/18,09:28:25,203.4,23.7,
08/09/18,09:28:25,203.5,23.5,
08/09/18,09:28:25,195.5,21.1,
08/09/18,09:28:25,195.7,14.4,
08/09/18,09:28:25,191.3,24.2,
08/09/18,09:28:25,194.7,13.6,
08/09/18,09:28:25,197.7,19.1,
08/09/18,09:28:25,197.3,18.4,
08/09/18,09:28:25,199.3,19.7,
08/09/18,09:28:26,200.1,16.4,
08/09/18,09:28:26,196.6,18.3,
08/09/18,09:28:26,199.2,19.8,
08/09/18,09:28:26,199.4,18.8,
08/09/18,09:28:26,197.1,24.0,
08/09/18,09:28:26,200.8,19.4,
08/09/18,09:28:26,199.7,15.5,
08/09/18,09:28:26,199.8,20.2,
08/09/18,09:28:26,198.5,8.4,
08/09/18,09:28:26,200.5,17.9,
08/09/18,09:28:26,202.6,20.1,
08/09/18,09:28:26,204.6,16.8,
08/09/18,09:28:26,204.3,16.1,
08/09/18,09:28:26,214.3,21.6,
08/09/18,09:28:26,202.9,17.4,
08/09/18,09:28:26,206.4,19.3,
08/09/18,09:28:27,204.1,18.9,
08/09/18,09:28:27,205.3,19.7,
08/09/18,09:28:27,206.8,19.1,
08/09/18,09:28:27,205.8,20.4,
08/09/18,09:28:27,203.1,10.1,
08/09/18,09:28:27,213.8,20.0,
08/09/18,09:28:27,206.9,15.8,
08/09/18,09:28:27,215.6,18.1,
08/09/18,09:28:27,212.0,17.8,
08/09/18,09:28:27,205.1,18.8,
08/09/18,09:28:27,204.7,12.0,
08/09/18,09:28:27,207.3,15.9,
08/09/18,09:28:27,203.9,18.0,
08/09/18,09:28:27,208.2,15.6,
08/09/18,09:28:28,208.6,16.2,
08/09/18,09:28:28,209.1,18.3,
08/09/18,09:28:28,210.5,15.6,
08/09/18,09:28:28,210.9,17.0,
08/09/18,09:28:28,217.3,18.6,
08/09/18,09:28:28,213.9,16.9,
08/09/18,09:28:28,210.4,14.8,
08/09/18,09:28:28,213.0,19.4,
08/09/18,09:28:28,213.8,16.7,
08/09/18,09:28:28,221.9,20.0,
08/09/18,09:28:28,213.8,17.1,
08/09/18,09:28:28,212.2,16.6,
08/09/18,09:28:28,225.0,19.8,
08/09/18,09:28:28,214.3,17.0,
08/09/18,09:28:28,216.2,14.7,
08/09/18,09:28:29,216.6,15.9,
08/09/18,09:28:29,216.0,14.1,
08/09/18,09:28:29,222.5,17.6,
08/09/18,09:28:29,223.1,19.4,
08/09/18,09:28:29,214.7,16.8,
08/09/18,09:28:29,216.8,14.5,
08/09/18,09:28:29,216.7,14.9,
08/09/18,09:28:29,216.7,14.9,
08/09/18,09:28:29,213.8,14.4,
08/09/18,09:28:29,217.4,16.5,
08/09/18,09:28:29,216.2,7.7,
08/09/18,09:28:29,226.7,15.5,
08/09/18,09:28:29,217.1,12.6,
08/09/18,09:28:29,217.7,15.5,
08/09/18,09:28:29,224.8,14.3,
08/09/18,09:28:30,227.7,18.4,
08/09/18,09:28:30,220.2,16.0,
08/09/18,09:28:30,229.1,16.9,
08/09/18,09:28:30,220.3,16.8,
08/09/18,09:28:30,217.4,3.0,
08/09/18,09:28:30,220.1,12.8,
08/09/18,09:28:30,219.8,17.9,
08/09/18,09:28:30,220.4,14.0,
08/09/18,09:28:30,220.8,16.8,
08/09/18,09:28:30,221.3,14.5,
08/09/18,09:28:30,221.2,18.2,
08/09/18,09:28:30,222.8,16.1,
08/09/18,09:28:30,220.8,20.7,
08/09/18,09:28:30,222.2,18.8,
08/09/18,09:28:30,223.1,16.3,
08/09/18,09:28:30,221.5,18.3,
08/09/18,09:28:30,224.2,17.4,
08/09/18,09:28:30,222.6,19.2,
08/09/18,09:28:30,218.6,20.7,
08/09/18,09:28:30,224.7,16.7,
08/09/18,09:28:30,223.5,20.8,
08/09/18,09:28:31,223.5,18.8,
08/09/18,09:28:31,226.5,16.0,
08/09/18,09:28:31,224.7,20.2,
08/09/18,09:28:31,218.3,20.9,
08/09/18,09:28:31,222.7,15.5,
08/09/18,09:28:31,222.7,12.1,
08/09/18,09:28:31,225.6,20.6,
08/09/18,09:28:31,226.9,20.3,
08/09/18,09:28:31,226.3,21.9,
08/09/18,09:28:31,221.6,21.1,
08/09/18,09:28:31,227.0,22.8,
08/09/18,09:28:31,226.0,24.6,
08/09/18,09:28:31,221.4,24.5,
08/09/18,09:28:31,228.9,23.4,
08/09/18,09:28:31,236.0,26.8,
08/09/18,09:28:31,230.0,21.1,
08/09/18,09:28:32,230.4,22.7,
08/09/18,09:28:32,229.5,23.3,
08/09/18,09:28:32,229.2,24.1,
08/09/18,09:28:32,230.2,23.2,
08/09/18,09:28:32,228.8,24.5,
08/09/18,09:28:32,223.6,25.4,
08/09/18,09:28:32,228.5,15.5,
08/09/18,09:28:32,228.4,24.9,
08/09/18,09:28:32,229.6,24.5,
08/09/18,09:28:32,230.7,20.0,
08/09/18,09:28:32,230.4,22.6,
08/09/18,09:28:32,231.0,23.9,
08/09/18,09:28:32,229.6,25.7,
08/09/18,09:28:32,236.8,28.3,
08/09/18,09:28:32,230.6,24.2,
08/09/18,09:28:32,231.7,26.5,
08/09/18,09:28:33,240.2,27.1,
08/09/18,09:28:33,233.5,25.2,
08/09/18,09:28:33,232.4,24.6,
